anime_id,name,genre,type,episodes,rating,members
5300,zoku natsume yuujinchou,"drama, fantasy, shoujo, slice of life, supernatural",TV,13,8.64,114173
9989,ano hi mita hana no namae wo bokutachi wa mada shiranai,"drama, slice of life, supernatural",TV,11,8.62,463835
24415,kuroko no basket 3rd season,"comedy, school, shounen, sports",TV,25,8.62,184525
11577,steinsgate movie fuka ryouiki no dj vu,"scifi, thriller",Movie,1,8.61,192424
10408,hotarubi no mori e,"drama, romance, shoujo, supernatural",Movie,1,8.61,197439
28171,shokugeki no souma,"ecchi, school, shounen",TV,24,8.61,348951
32995,yuri on ice,"comedy, sports",TV,12,8.61,103178
21899,gintama yorinuki gintamasan on theater 2d,"action, comedy, historical, parody, samurai, scifi, shounen",Movie,2,8.6,11104
26055,jojo no kimyou na bouken stardust crusaders 2nd season,"action, adventure, drama, shounen, supernatural",TV,24,8.6,93657
7472,gintama movie shinyaku benizakurahen,"action, comedy, historical, parody, samurai, scifi, shounen",Movie,1,8.59,51185
777,hellsing ultimate,"action, horror, military, seinen, supernatural, vampire",OVA,10,8.59,297454
22535,kiseijuu sei no kakuritsu,"action, drama, horror, psychological, scifi, seinen",TV,24,8.59,425457
28735,shouwa genroku rakugo shinjuu,"drama, historical, josei",TV,13,8.59,71295
12431,uchuu kyoudai,"comedy, scifi, seinen, slice of life, space",TV,99,8.59,72958
28805,bakemono no ko,"adventure, supernatural",Movie,1,8.58,80825
578,hotaru no haka,"drama, historical",Movie,1,8.58,174878
16894,kuroko no basket 2nd season,"comedy, school, shounen, sports",TV,25,8.58,243325
5028,major s5,"comedy, drama, romance, sports",TV,25,8.58,28653
21,one piece,"action, adventure, comedy, drama, fantasy, shounen, super power",TV,Unknown,8.58,504862
801,ghost in the shell stand alone complex 2nd gig,"action, mecha, military, mystery, police, scifi, seinen",TV,26,8.57,113993
31933,jojo no kimyou na bouken diamond wa kudakenai,"action, adventure, comedy, drama, shounen, supernatural",TV,39,8.57,74074
5205,kara no kyoukai 7 satsujin kousatsu kou,"action, mystery, romance, supernatural, thriller",Movie,1,8.57,95658
17389,kingdom 2nd season,"action, historical, military, seinen",TV,39,8.57,31234
170,slam dunk,"comedy, drama, school, shounen, sports",TV,101,8.56,82570
10162,usagi drop,"josei, slice of life",TV,11,8.56,194855
18617,girls und panzer der film,"military, school",Movie,1,8.55,25641
32182,mob psycho 100,"action, comedy, slice of life, supernatural",TV,12,8.55,193716
877,nana,"comedy, drama, music, romance, shoujo, slice of life",TV,47,8.55,197256
2251,baccano,"action, comedy, historical, mystery, seinen, supernatural",TV,13,8.54,363215
24687,mushishi zoku shou odoro no michi,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",Special,1,8.54,34011
16498,shingeki no kyojin,"action, drama, fantasy, shounen, super power",TV,25,8.54,896229
10030,bakuman 2nd season,"comedy, drama, romance, shounen",TV,25,8.53,151561
5941,cross game,"comedy, drama, romance, school, sports",TV,50,8.53,53108
30346,doukyuusei movie,"romance, school, shounen ai, slice of life",Movie,1,8.53,28864
3784,evangelion 20 you can not advance,"action, mecha, scifi",Movie,1,8.53,182224
13125,shinsekai yori,"drama, horror, mystery, scifi, supernatural",TV,25,8.53,288376
12029,uchuu senkan yamato 2199,"action, drama, military, scifi, space",OVA,26,8.53,44223
14397,chihayafuru 2,"drama, game, josei, slice of life, sports",TV,25,8.52,86074
10087,fatezero,"action, fantasy, supernatural",TV,13,8.51,453630
14719,jojo no kimyou na bouken tv,"action, adventure, shounen, supernatural, vampire",TV,26,8.51,190197
9756,mahou shoujo madokamagica,"drama, magic, psychological, thriller",TV,12,8.51,462974
10165,nichijou,"comedy, school, slice of life",TV,26,8.52,254436
13601,psychopass,"action, police, psychological, scifi",TV,22,8.5,509109
22789,barakamon,"comedy, slice of life",TV,12,8.5,225927
30230,diamond no ace second season,"comedy, school, shounen, sports",TV,51,8.5,38531
18115,magi the kingdom of magic,"action, adventure, fantasy, magic, shounen",TV,25,8.5,245026
11981,mahou shoujo madokamagica movie 3 hangyaku no monogatari,"drama, magic, psychological, thriller",Movie,1,8.5,135735
11917,major world series,"comedy, drama, sports",OVA,2,8.5,13405
205,samurai champloo,"action, adventure, comedy, historical, samurai, shounen",TV,26,8.5,390076
32282,shokugeki no souma ni no sara,"ecchi, school, shounen",TV,13,8.5,185015
6594,katanagatari,"action, adventure, historical, martial arts, romance",TV,12,8.49,207241
11979,mahou shoujo madokamagica movie 2 eien no monogatari,"drama, magic, psychological, thriller",Movie,1,8.49,85361
7655,major s6,"comedy, drama, sports",TV,25,8.49,24788
2246,mononoke,"demons, fantasy, historical, horror, mystery, seinen, supernatural",TV,12,8.49,88850
25835,shirobako,"comedy, drama",TV,24,8.49,146895
2921,ashita no joe 2,"drama, sports",TV,47,8.48,6259
136,hunter x hunter,"action, adventure, shounen, super power",TV,62,8.48,166255
30503,noragami aragoto,"action, adventure, shounen, supernatural",TV,13,8.48,299434
12531,sakamichi no apollon,"drama, josei, music, romance, school",TV,12,8.48,146592
523,tonari no totoro,"adventure, comedy, supernatural",Movie,1,8.48,271484
467,ghost in the shell stand alone complex,"action, mecha, military, police, scifi, seinen",TV,26,8.47,194491
572,kaze no tani no nausica,"adventure, fantasy",Movie,1,8.47,143273
19815,no game no life,"adventure, comedy, ecchi, fantasy, game, supernatural",TV,12,8.47,602291
2559,romeo no aoi sora,"adventure, drama, historical, slice of life",TV,33,8.47,15074
392,yuuyuuhakusho,"action, comedy, demons, fantasy, martial arts, school, shounen",TV,112,8.47,195017
486,kino no tabi the beautiful world,"action, adventure, slice of life",TV,13,8.46,102822
11771,kuroko no basket,"comedy, school, shounen, sports",TV,25,8.46,338315
1698,nodame cantabile,"comedy, drama, josei, music, romance, slice of life",TV,23,8.46,157025
5341,ookami to koushinryou ii,"adventure, fantasy, historical, romance",TV,12,8.46,210491
25781,shingeki no kyojin kuinaki sentaku,"action, fantasy, shoujo, supernatural",OVA,2,8.45,92543
10863,steinsgate oukoubakko no poriomania,"scifi, thriller",Special,1,8.46,159548
28701,fatestay night unlimited blade works 2nd season,"action, fantasy, magic, shounen, supernatural",TV,13,8.45,205987
5420,kemono no souja erin,"drama, fantasy",TV,50,8.45,36751
9260,kizumonogatari i tekketsuhen,"mystery, supernatural, vampire",Movie,1,8.45,99579
32,neon genesis evangelion the end of evangelion,"dementia, drama, mecha, psychological, scifi",Movie,1,8.45,215630
4224,toradora,"comedy, romance, school, slice of life",TV,25,8.45,633817
2236,toki wo kakeru shoujo,"adventure, drama, romance, scifi",Movie,1,8.44,289206
2685,tsubasa tokyo revelations,"action, adventure, drama, fantasy, romance, shounen",OVA,3,8.44,57963
31181,owarimonogatari,"comedy, mystery, supernatural",TV,12,8.43,107855
45,rurouni kenshin meiji kenkaku romantan,"action, adventure, comedy, historical, romance, samurai",TV,94,8.43,218928
2418,stranger mukou hadan,"action, adventure, historical, samurai",Movie,1,8.43,125503
1365,detective conan movie 06 the phantom of baker street,"adventure, mystery, police, shounen",Movie,1,8.42,28462
22297,fatestay night unlimited blade works,"action, fantasy, magic, shounen, supernatural",TV,12,8.42,267484
627,major s1,"comedy, drama, shounen, sports",TV,26,8.42,41061
10937,mobile suit gundam the origin,"action, mecha, military, scifi, shounen, space",OVA,6,8.42,15420
23755,nanatsu no taizai,"action, adventure, ecchi, fantasy, shounen, supernatural",TV,24,8.42,331627
4081,natsume yuujinchou,"drama, fantasy, shoujo, slice of life, supernatural",TV,13,8.42,210736
4155,one piece film strong world,"action, adventure, comedy, drama, fantasy, shounen",Movie,1,8.42,85020
1889,higurashi no naku koro ni kai,"mystery, psychological, supernatural, thriller",TV,24,8.41,218101
137,hunter x hunter ova,"action, adventure, shounen, super power",OVA,8,8.41,53168
139,hunter x hunter greed island final,"action, adventure, shounen, super power",OVA,14,8.41,55787
23317,kuroshitsuji book of murder,"comedy, demons, fantasy, historical, mystery, shounen, supernatural",OVA,2,8.41,67261
558,major s2,"comedy, drama, shounen, sports",TV,26,8.41,30689
5040,one outs,"psychological, seinen, sports",TV,25,8.41,83056
57,beck,"comedy, drama, music, shounen, slice of life",TV,26,8.4,148328
33,berserk,"action, adventure, demons, drama, fantasy, horror, military, romance, seinen, supernatural",TV,25,8.4,226430
5,cowboy bebop tengoku no tobira,"action, drama, mystery, scifi, space",Movie,1,8.4,137636
1842,major s3,"drama, shounen, sports",TV,26,8.4,29528
6336,mobile suit gundam unicorn,"action, drama, mecha, military, scifi, space",OVA,7,8.4,42076
20651,natsume yuujinchou itsuka yuki no hi ni,"drama, fantasy, shoujo, slice of life, supernatural",OVA,1,8.4,28302
1210,nhk ni youkoso,"comedy, drama, psychological, romance",TV,24,8.4,291228
338,rose of versailles,"adventure, drama, historical, romance, shoujo",TV,40,8.4,32188
13759,sakurasou no pet na kanojo,"comedy, drama, romance, school, slice of life",TV,24,8.4,380375
6547,angel beats,"action, comedy, drama, school, supernatural",TV,13,8.39,717796
5081,bakemonogatari,"mystery, romance, supernatural, vampire",TV,15,8.39,482268
32867,bungou stray dogs 2nd season,"mystery, seinen, supernatural",TV,12,8.39,83641
264,hajime no ippo champion road,"comedy, shounen, sports",Special,1,8.39,47840
12859,one piece film z,"action, adventure, comedy, drama, fantasy, shounen",Movie,1,8.39,76051
853,ouran koukou host club,"comedy, harem, romance, school, shoujo",TV,26,8.39,422271
5460,detective conan movie 13 the raven chaser,"action, mystery, police, shounen",Movie,1,8.38,21798
6746,durarara,"action, mystery, supernatural",TV,24,8.38,556431
5690,nodame cantabile finale,"comedy, josei, music, romance",TV,11,8.38,67697
329,planetes,"drama, romance, scifi, seinen, space",TV,26,8.38,105044
34240,shelter,"music, scifi",Music,1,8.38,71136
513,tenkuu no shiro laputa,"adventure, fantasy, romance, scifi",Movie,1,8.38,151061
6945,gintama shiroyasha koutan,"action, comedy, historical, parody, scifi",Special,1,8.37,27213
1142,hachimitsu to clover ii,"drama, josei, romance",TV,12,8.37,61493
6811,inuyasha kanketsuhen,"action, adventure, comedy, demons, fantasy, magic, romance, shounen, supernatural",TV,26,8.37,99128
16664,kaguyahime no monogatari,"fantasy, historical",Movie,1,8.37,45547
1604,katekyo hitman reborn,"action, comedy, shounen, super power",TV,203,8.37,258103
22145,kuroshitsuji book of circus,"comedy, demons, fantasy, historical, shounen, supernatural",TV,10,8.37,122895
2966,ookami to koushinryou,"adventure, fantasy, historical, romance",TV,13,8.37,334932
31964,boku no hero academia,"action, comedy, school, shounen, super power",TV,13,8.36,282002
19363,gin no saji 2nd season,"comedy, school, shounen, slice of life",TV,11,8.36,67032
18195,little busters refrain,"comedy, drama, romance, school, slice of life, supernatural",TV,13,8.36,71820
9890,major message,"comedy, drama, sports",OVA,1,8.36,12282
9130,saint seiya the lost canvas  meiou shinwa 2,"action, adventure, martial arts, shounen, super power, supernatural",OVA,13,8.36,27532
9863,sket dance,"comedy, school, shounen",TV,77,8.36,101027
7674,bakuman,"comedy, romance, shounen",TV,25,8.35,246899
11843,danshi koukousei no nichijou,"comedy, school, shounen, slice of life",TV,12,8.35,258914
16782,kotonoha no niwa,"drama, psychological, romance, slice of life",Movie,1,8.35,189741
28675,kyoukai no kanata movie i039ll be here  miraihen,"fantasy, slice of life, supernatural",Movie,1,8.35,59815
3226,major s4,"comedy, drama, shounen, sports",TV,26,8.35,28002
21557,omoide no marnie,"drama, mystery, psychological",Movie,1,8.35,53590
31715,working lord of the takanashi,"comedy, romance, slice of life",Special,1,8.34,31856
43,ghost in the shell,"action, mecha, police, psychological, scifi, seinen",Movie,1,8.34,223036
9617,kon movie,"comedy, music, slice of life",Movie,1,8.34,115252
31051,kuroko no basket saikou no present desu,"action, school, shounen, sports",Special,1,8.34,22900
10153,mahou shoujo lyrical nanoha the movie 2nd a039s,"action, comedy, drama, magic, super power",Movie,1,8.34,13315
1033,sennen joyuu,"action, adventure, drama, fantasy, historical, romance",Movie,1,8.34,58492
32188,steinsgate kyoukaimenjou no missing link  divide by zero,"scifi, thriller",Special,1,8.34,38147
3091,xxxholic kei,"comedy, drama, mystery, psychological, supernatural",TV,13,8.34,74941
12115,berserk ougon jidaihen iii  kourin,"action, adventure, demons, drama, fantasy, horror, military, seinen, supernatural",Movie,1,8.33,65594
28223,death parade,"drama, game, mystery, psychological, thriller",TV,12,8.33,383914
121,fullmetal alchemist,"action, adventure, comedy, drama, fantasy, magic, military, shounen",TV,51,8.33,600384
3002,gyakkyou burai kaiji ultimate survivor,"game, psychological, seinen, thriller",TV,26,8.33,98996
138,hunter x hunter greed island,"action, adventure, shounen, super power",OVA,8,8.33,57029
6675,redline,"action, cars, scifi, sports",Movie,1,8.33,109392
10800,chihayafuru,"drama, game, josei, slice of life, sports",TV,25,8.32,158561
32005,detective conan movie 20 the darkest nightmare,"action, mystery, police, shounen",Movie,1,8.32,6229
813,dragon ball z,"action, adventure, comedy, fantasy, martial arts, shounen, super power",TV,291,8.32,375662
27821,fatestay night unlimited blade works  prologue,"action, fantasy, magic, shounen, supernatural",Special,1,8.32,106382
28725,kokoro ga sakebitagatterunda,"drama, romance, school",Movie,1,8.32,59652
585,mimi wo sumaseba,"adventure, drama, fantasy, romance, slice of life",Movie,1,8.32,94435
16067,nagi no asukara,"drama, fantasy, romance",TV,26,8.32,224947
30,neon genesis evangelion,"action, dementia, drama, mecha, psychological, scifi",TV,26,8.32,461946
31490,one piece film gold,"action, adventure, comedy, drama, fantasy, shounen",Movie,1,8.32,18642
759,tokyo godfathers,"comedy, drama",Movie,1,8.32,89424
6,trigun,"action, comedy, scifi",TV,26,8.32,283069
6864,xxxholic rou,"mystery, supernatural",OVA,2,8.32,36353
9735,gintama shinyaku benizakurahen,"action, comedy, historical, parody, samurai, scifi, shounen",Special,1,8.31,14002
11977,mahou shoujo madokamagica movie 1 hajimari no monogatari,"drama, magic, psychological, thriller",Movie,1,8.31,88164
11123,sekaiichi hatsukoi 2,"comedy, drama, romance, shounen ai",TV,12,8.31,69253
23847,yahari ore no seishun love comedy wa machigatteiru zoku,"comedy, drama, romance, school",TV,13,8.31,222994
33161,yahari ore no seishun love comedy wa machigatteiru zoku ova,"comedy, romance, school",OVA,1,8.31,35120
962,aria the natural,"fantasy, scifi, shounen, slice of life",TV,26,8.3,39596
1519,black lagoon the second barrage,"action, seinen",TV,12,8.3,203233
2167,clannad,"comedy, drama, romance, school, slice of life, supernatural",TV,23,8.3,566690
16706,kami nomi zo shiru sekai megamihen,"comedy, harem, romance, shounen, supernatural",TV,12,8.3,142612
5681,summer wars,"comedy, scifi",Movie,1,8.3,223359
3901,baccano specials,"action, comedy, historical, mystery, seinen, supernatural",Special,3,8.29,100412
6467,detective conan movie 14 the lost ship in the sky,"action, mystery, police, shounen",Movie,1,8.29,20602
10271,gyakkyou burai kaiji hakairokuhen,"game, psychological, seinen, thriller",TV,26,8.29,55566
22507,initial d final stage,"cars, seinen, sports",TV,4,8.29,19702
3701,kaiba,"adventure, mystery, romance, scifi",TV,12,8.29,56927
19123,one piece episode of merry  mou hitori no nakama no monogatari,"action, adventure, comedy, drama, fantasy, shounen, super power",Special,1,8.29,17247
33255,saiki kusuo no nan tv,"comedy, school, shounen, supernatural",TV,120,8.29,47092
372,cardcaptor sakura movie 2 fuuin sareta card,"comedy, drama, fantasy, magic, romance, shoujo",Movie,1,8.28,60637
265,hajime no ippo mashiba vs kimura,"comedy, shounen, sports",OVA,1,8.28,40623
25681,kamisama hajimemashita,"comedy, demons, fantasy, romance, shoujo, supernatural",TV,12,8.28,91796
4722,skip beat,"comedy, drama, romance, shoujo",TV,25,8.28,134818
24277,yowamushi pedal grande road,"comedy, drama, shounen, sports",TV,24,8.28,50778
239,gankutsuou,"drama, mystery, scifi, supernatural, thriller",TV,24,8.27,103828
512,majo no takkyuubin,"adventure, comedy, drama, fantasy, magic, romance",Movie,1,8.27,152331
4477,nodame cantabile parishen,"comedy, josei, music, romance, slice of life",TV,11,8.27,70822
15323,one piece episode of nami  koukaishi no namida to nakama no kizuna,"action, adventure, comedy, drama, fantasy, shounen, super power",Special,1,8.27,24707
31174,osomatsusan,"comedy, parody",TV,25,8.27,60988
23327,spacedandy 2nd season,"comedy, scifi, space",TV,13,8.27,60918
5365,tsumiki no ie,drama,Movie,1,8.27,45189
3702,detroit metal city,"comedy, music",OVA,12,8.26,104893
3167,eve no jikan,"scifi, slice of life",ONA,6,8.26,99074
7465,eve no jikan movie,"scifi, slice of life",Movie,1,8.26,66376
7054,kaichou wa maidsama,"comedy, romance, school, shoujo",TV,26,8.26,391628
1257,saint seiya meiou hades juuni kyuuhen,"adventure, scifi, shounen",OVA,13,8.26,23701
23283,zankyou no terror,"psychological, thriller",TV,11,8.26,342893
2025,darker than black kuro no keiyakusha,"action, mystery, scifi, super power",TV,25,8.25,440334
235,detective conan,"adventure, comedy, mystery, police, shounen",TV,Unknown,8.25,114702
1364,detective conan movie 05 countdown to heaven,"adventure, comedy, mystery, police, shounen",Movie,1,8.25,25432
18689,diamond no ace,"comedy, school, shounen, sports",TV,75,8.25,81384
22043,fairy tail 2014,"action, adventure, comedy, fantasy, magic, shounen",TV,102,8.25,255076
31988,hibike euphonium 2,"drama, music, school",TV,13,8.25,47716
20899,jojo no kimyou na bouken stardust crusaders,"action, adventure, drama, shounen, supernatural",TV,24,8.25,120089
1453,maison ikkoku,"comedy, drama, romance, slice of life",TV,96,8.25,22079
23623,non non biyori repeat,"comedy, school, seinen, slice of life",TV,12,8.26,64230
1559,shijou saikyou no deshi kenichi,"action, comedy, martial arts, school, shounen",TV,50,8.25,129112
1382,yuushaou gaogaigar final,"adventure, drama, mecha, scifi, shounen",OVA,8,8.25,5001
23289,gekkan shoujo nozakikun,"comedy, romance, school",TV,12,8.24,292622
18,initial d fourth stage,"action, cars, drama, seinen, sports",TV,24,8.24,41584
4814,junjou romantica 2,"comedy, drama, romance, shounen ai",TV,12,8.24,87617
16662,kaze tachinu,"drama, historical, romance",Movie,1,8.24,75359
12031,kingdom,"action, historical, military, seinen",TV,38,8.24,54211
8129,kuragehime,"comedy, josei, slice of life",TV,11,8.24,108053
14513,magi the labyrinth of magic,"action, adventure, fantasy, magic, shounen",TV,25,8.24,317513
2581,mobile suit gundam 00,"action, drama, mecha, military, scifi, space",TV,25,8.24,120351
30015,relife,"romance, school, slice of life",TV,13,8.24,202249
6171,saint seiya the lost canvas  meiou shinwa,"action, adventure, martial arts, shounen, super power, supernatural",OVA,13,8.24,40355
1827,seirei no moribito,"action, adventure, fantasy, historical",TV,26,8.24,106888
25013,akatsuki no yona,"action, adventure, comedy, fantasy, romance, shoujo",TV,24,8.23,216674
1367,detective conan movie 08 magician of the silver sky,"adventure, comedy, mystery, police, shounen",Movie,1,8.23,23130
27833,durararax2 ketsu,"action, mystery, supernatural",TV,12,8.23,115295
26213,free eternal summer special,"comedy, school, slice of life",Special,1,8.23,36091
1974,glass no kamen 2005,"drama, shoujo",TV,51,8.23,17038
8425,gosick,"drama, historical, mystery, romance",TV,24,8.23,232113
12069,hajime no ippo boxer no kobushi,"comedy, drama, shounen, sports",Special,1,8.23,20157
185,initial d first stage,"action, cars, drama, seinen, sports",TV,26,8.23,68128
18679,kill la kill,"action, comedy, school, super power",TV,24,8.23,508118
2034,lovelycomplex,"comedy, romance, shoujo",TV,24,8.23,235003
437,perfect blue,"dementia, drama, horror, psychological",Movie,1,8.23,117565
721,princess tutu,"comedy, fantasy, magic, romance",TV,38,8.23,73218
12477,sakasama no patema,"scifi, seinen",Movie,1,8.23,89749
4938,tsubasa shunraiki,"action, adventure, drama, fantasy, magic, mystery, romance, shounen, supernatural",OVA,2,8.23,40420
2402,ashita no joe,"drama, sports",TV,79,8.22,15442
6702,fairy tail,"action, adventure, comedy, fantasy, magic, shounen",TV,175,8.22,584590
1566,ghost in the shell stand alone complex  solid state society,"mecha, military, mystery, police, scifi, seinen",Special,1,8.22,55247
31741,magi sinbad no bouken tv,"action, adventure, fantasy, magic, shounen",TV,13,8.22,73480
440,shoujo kakumei utena,"drama, fantasy, psychological, shoujo",TV,39,8.22,77464
4107,tengen toppa gurren lagann movie gurrenhen,"action, comedy, mecha",Movie,1,8.22,72933
1506,detective conan movie 10 requiem of the detectives,"adventure, comedy, mystery, police, shounen",Movie,1,8.21,21789
2759,evangelion 10 you are not alone,"action, mecha, scifi",Movie,1,8.21,194561
72,full metal panic fumoffu,"action, comedy, school",TV,12,8.21,171086
3016,ginga eiyuu densetsu arata naru tatakai no overture,"action, drama, military, scifi, space",Movie,1,8.21,11808
3783,kara no kyoukai 3 tsuukaku zanryuu,"action, drama, mystery, supernatural, thriller",Movie,1,8.21,108720
3927,mobile suit gundam 00 second season,"action, drama, mecha, military, scifi, space",TV,25,8.21,86972
11597,nisemonogatari,"comedy, mystery, supernatural",TV,11,8.21,260062
28025,tsukimonogatari,"comedy, mystery, supernatural",TV,4,8.21,111009
24833,ansatsu kyoushitsu tv,"action, comedy, school, shounen",TV,22,8.2,312654
29893,aria the avvenire,"fantasy, scifi, shounen, slice of life",Special,3,8.2,9500
27663,baby steps 2nd season,"romance, school, shounen, sports",TV,25,8.2,36251
1482,dgrayman,"action, adventure, comedy, shounen",TV,103,8.2,334399
3371,"ginga eiyuu densetsu gaiden senoku no hoshi, senoku no hikari","action, military, scifi, space",OVA,24,8.2,8621
25313,gintama jump festa 2014 special,"action, comedy, historical, parody, samurai, scifi, shounen",Special,1,8.2,13764
1430,lupin iii cagliostro no shiro,"adventure, comedy, shounen",Movie,1,8.2,32732
33051,mobile suit gundam ironblooded orphans 2nd season,"action, drama, mecha, scifi, space",TV,25,8.2,21210
7720,ookiku furikabutte natsu no taikaihen,"comedy, sports",TV,13,8.2,22190
1914,saiunkoku monogatari 2nd season,"adventure, comedy, drama, fantasy, historical, romance",TV,39,8.2,23160
20371,sekaiichi hatsukoi movie yokozawa takafumi no baai,"comedy, drama, romance, shounen ai",Movie,1,8.2,23045
15039,ano hi mita hana no namae wo bokutachi wa mada shiranai movie,"drama, slice of life, supernatural",Movie,1,8.19,95241
2164,dennou coil,"adventure, comedy, drama, mystery, scifi",TV,26,8.19,76860
237,eureka seven,"adventure, drama, mecha, romance, scifi",TV,50,8.19,239570
2449,ghost in the shell stand alone complex  the laughing man,"action, mecha, mystery, police, psychological, scifi, seinen",Special,1,8.19,21435
10643,gintama dai hanseikai,"action, comedy, parody, samurai",Special,1,8.19,14728
17739,hidamari sketch sae hiro sotsugyouhen,"comedy, school, slice of life",OVA,2,8.19,5959
135,hikaru no go,"comedy, game, shounen, supernatural",TV,75,8.19,69000
6045,kimi ni todoke,"romance, school, shoujo, slice of life",TV,25,8.19,309339
